Most common words,Absolute frequency,Relative frequency
nearly,27.0,0.0004797867614393603
offered,27.0,0.0004797867614393603
account,27.0,0.0004797867614393603
miles,27.0,0.0004797867614393603
affection,27.0,0.0004797867614393603
fellow,27.0,0.0004797867614393603
grew,27.0,0.0004797867614393603
uncle,27.0,0.0004797867614393603
steps,27.0,0.0004797867614393603
passing,27.0,0.0004797867614393603
frame,27.0,0.0004797867614393603
parlour,27.0,0.0004797867614393603
showed,27.0,0.0004797867614393603
happened,27.0,0.0004797867614393603
hill,27.0,0.0004797867614393603
green,27.0,0.0004797867614393603
leah,27.0,0.0004797867614393603
sophie,27.0,0.0004797867614393603
electronic,27.0,0.0004797867614393603
tale,26.0,0.00046201688138605067
thinking,26.0,0.00046201688138605067
wet,26.0,0.00046201688138605067
picture,26.0,0.00046201688138605067
paused,26.0,0.00046201688138605067
stand,26.0,0.00046201688138605067
blind,26.0,0.00046201688138605067
says,26.0,0.00046201688138605067
eat,26.0,0.00046201688138605067
cut,26.0,0.00046201688138605067
resolved,26.0,0.00046201688138605067
stone,26.0,0.00046201688138605067
tried,26.0,0.00046201688138605067
dog,26.0,0.00046201688138605067
library,26.0,0.00046201688138605067
sad,26.0,0.00046201688138605067
bonnet,26.0,0.00046201688138605067
meantime,26.0,0.00046201688138605067
liberty,26.0,0.00046201688138605067
year,26.0,0.00046201688138605067
fancy,26.0,0.00046201688138605067
weeks,26.0,0.00046201688138605067
notice,26.0,0.00046201688138605067
thin,26.0,0.00046201688138605067
afterwards,26.0,0.00046201688138605067
lit,26.0,0.00046201688138605067
broad,26.0,0.00046201688138605067
inquired,26.0,0.00046201688138605067
taste,26.0,0.00046201688138605067
wait,26.0,0.00046201688138605067
pounds,26.0,0.00046201688138605067
expression,26.0,0.00046201688138605067
post,26.0,0.00046201688138605067
consider,26.0,0.00046201688138605067
moor,26.0,0.00046201688138605067
absolutely,26.0,0.00046201688138605067
foundation,26.0,0.00046201688138605067
wrong,25.0,0.000444247001332741
drawn,25.0,0.000444247001332741
knee,25.0,0.000444247001332741
act,25.0,0.000444247001332741
pain,25.0,0.000444247001332741
shoulder,25.0,0.000444247001332741
abbot,25.0,0.000444247001332741
passion,25.0,0.000444247001332741
fetch,25.0,0.000444247001332741
easy,25.0,0.000444247001332741
bitter,25.0,0.000444247001332741
figure,25.0,0.000444247001332741
considered,25.0,0.000444247001332741
prepared,25.0,0.000444247001332741
moved,25.0,0.000444247001332741
path,25.0,0.000444247001332741
town,25.0,0.000444247001332741
gates,25.0,0.000444247001332741
six,25.0,0.000444247001332741
teachers,25.0,0.000444247001332741
daughter,25.0,0.000444247001332741
pupil,25.0,0.000444247001332741
settled,25.0,0.000444247001332741
desire,25.0,0.000444247001332741
excited,25.0,0.000444247001332741
reached,25.0,0.000444247001332741
