Most common words,Absolute frequency,Relative frequency
death,56.0,0.0006241988519199688
father,56.0,0.0006241988519199688
followed,56.0,0.0006241988519199688
kind,56.0,0.0006241988519199688
brocklehurst,56.0,0.0006241988519199688
liked,55.0,0.0006130524438499694
pale,55.0,0.0006130524438499694
fell,55.0,0.0006130524438499694
lowood,55.0,0.0006130524438499694
rivers,55.0,0.0006130524438499694
happy,54.0,0.00060190603577997
book,54.0,0.00060190603577997
arms,54.0,0.00060190603577997
dead,54.0,0.00060190603577997
stay,54.0,0.00060190603577997
married,54.0,0.00060190603577997
strong,54.0,0.00060190603577997
already,53.0,0.0005907596277099704
care,53.0,0.0005907596277099704
began,53.0,0.0005907596277099704
mean,52.0,0.000579613219639971
walk,52.0,0.000579613219639971
close,52.0,0.000579613219639971
person,52.0,0.000579613219639971
upon,51.0,0.0005684668115699716
remember,51.0,0.0005684668115699716
hard,51.0,0.0005684668115699716
wanted,51.0,0.0005684668115699716
point,51.0,0.0005684668115699716
idea,50.0,0.0005573204034999722
whole,50.0,0.0005573204034999722
second,49.0,0.0005461739954299727
deep,49.0,0.0005461739954299727
step,49.0,0.0005461739954299727
received,49.0,0.0005461739954299727
kept,49.0,0.0005461739954299727
sound,49.0,0.0005461739954299727
longer,49.0,0.0005461739954299727
next,49.0,0.0005461739954299727
grace,49.0,0.0005461739954299727
marry,49.0,0.0005461739954299727
character,48.0,0.0005350275873599733
power,48.0,0.0005350275873599733
wind,48.0,0.0005350275873599733
question,48.0,0.0005350275873599733
feelings,48.0,0.0005350275873599733
laid,48.0,0.0005350275873599733
clock,48.0,0.0005350275873599733
candle,48.0,0.0005350275873599733
used,48.0,0.0005350275873599733
small,47.0,0.0005238811792899738
drawing,47.0,0.0005238811792899738
shut,47.0,0.0005238811792899738
sisters,47.0,0.0005238811792899738
struck,47.0,0.0005238811792899738
ran,47.0,0.0005238811792899738
spirit,47.0,0.0005238811792899738
smile,47.0,0.0005238811792899738
short,47.0,0.0005238811792899738
human,46.0,0.0005127347712199743
stopped,46.0,0.0005127347712199743
coming,46.0,0.0005127347712199743
less,46.0,0.0005127347712199743
become,46.0,0.0005127347712199743
together,46.0,0.0005127347712199743
spoke,46.0,0.0005127347712199743
1,46.0,0.0005127347712199743
gentlemen,45.0,0.0005015883631499749
pass,45.0,0.0005015883631499749
chapter,45.0,0.0005015883631499749
seat,45.0,0.0005015883631499749
brother,45.0,0.0005015883631499749
sweet,45.0,0.0005015883631499749
features,45.0,0.0005015883631499749
thoughts,45.0,0.0005015883631499749
glad,44.0,0.0004904419550799755
georgiana,44.0,0.0004904419550799755
drew,44.0,0.0004904419550799755
arm,44.0,0.0004904419550799755
sent,44.0,0.0004904419550799755
scarcely,44.0,0.0004904419550799755
church,44.0,0.0004904419550799755
exclaimed,44.0,0.0004904419550799755
order,44.0,0.0004904419550799755
sought,44.0,0.0004904419550799755
forget,44.0,0.0004904419550799755
road,44.0,0.0004904419550799755
held,44.0,0.0004904419550799755
fast,44.0,0.0004904419550799755
children,43.0,0.000479295547009976
feet,43.0,0.000479295547009976
moon,43.0,0.000479295547009976
added,43.0,0.000479295547009976
gateshead,43.0,0.000479295547009976
call,43.0,0.000479295547009976
beyond,43.0,0.000479295547009976
sky,43.0,0.000479295547009976
silent,42.0,0.0004681491389399766
presence,42.0,0.0004681491389399766
business,42.0,0.0004681491389399766
matter,42.0,0.0004681491389399766
late,42.0,0.0004681491389399766
strength,42.0,0.0004681491389399766
help,42.0,0.0004681491389399766
change,42.0,0.0004681491389399766
tone,42.0,0.0004681491389399766
bread,42.0,0.0004681491389399766
girls,42.0,0.0004681491389399766
form,42.0,0.0004681491389399766
none,41.0,0.00045700273086997714
self,41.0,0.00045700273086997714
really,41.0,0.00045700273086997714
clear,41.0,0.00045700273086997714
french,41.0,0.00045700273086997714
ere,41.0,0.00045700273086997714
chamber,41.0,0.00045700273086997714
state,41.0,0.00045700273086997714
glance,41.0,0.00045700273086997714
please,41.0,0.00045700273086997714
soul,41.0,0.00045700273086997714
five,41.0,0.00045700273086997714
bright,40.0,0.00044585632279997773
bear,40.0,0.00044585632279997773
breakfast,40.0,0.00044585632279997773
glass,40.0,0.00044585632279997773
ago,40.0,0.00044585632279997773
wood,40.0,0.00044585632279997773
hannah,40.0,0.00044585632279997773
probably,39.0,0.00043470991472997826
amongst,39.0,0.00043470991472997826
reader,39.0,0.00043470991472997826
mere,39.0,0.00043470991472997826
manner,39.0,0.00043470991472997826
afternoon,39.0,0.00043470991472997826
blood,39.0,0.00043470991472997826
gentleman,39.0,0.00043470991472997826
past,39.0,0.00043470991472997826
family,39.0,0.00043470991472997826
sitting,39.0,0.00043470991472997826
dressed,39.0,0.00043470991472997826
england,39.0,0.00043470991472997826
expected,39.0,0.00043470991472997826
lived,39.0,0.00043470991472997826
front,39.0,0.00043470991472997826
trees,38.0,0.00042356350665997885
existence,38.0,0.00042356350665997885
die,38.0,0.00042356350665997885
conversation,38.0,0.00042356350665997885
true,38.0,0.00042356350665997885
seek,38.0,0.00042356350665997885
trouble,38.0,0.00042356350665997885
tall,38.0,0.00042356350665997885
need,38.0,0.00042356350665997885
fair,37.0,0.0004124170985899794
works,37.0,0.0004124170985899794
ten,37.0,0.0004124170985899794
ought,37.0,0.0004124170985899794
closed,37.0,0.0004124170985899794
reply,37.0,0.0004124170985899794
soft,37.0,0.0004124170985899794
filled,37.0,0.0004124170985899794
sleep,37.0,0.0004124170985899794
usual,37.0,0.0004124170985899794
hours,37.0,0.0004124170985899794
dress,37.0,0.0004124170985899794
tea,37.0,0.0004124170985899794
hardly,37.0,0.0004124170985899794
ear,36.0,0.0004012706905199799
e,36.0,0.0004012706905199799
bell,36.0,0.0004012706905199799
dinner,36.0,0.0004012706905199799
distance,36.0,0.0004012706905199799
speaking,36.0,0.0004012706905199799
four,36.0,0.0004012706905199799
servants,36.0,0.0004012706905199799
wonder,36.0,0.0004012706905199799
servant,36.0,0.0004012706905199799
handsome,36.0,0.0004012706905199799
blue,36.0,0.0004012706905199799
living,36.0,0.0004012706905199799
use,35.0,0.0003901242824499805
truth,35.0,0.0003901242824499805
rain,35.0,0.0003901242824499805
presently,35.0,0.0003901242824499805
also,35.0,0.0003901242824499805
husband,35.0,0.0003901242824499805
afraid,35.0,0.0003901242824499805
friends,35.0,0.0003901242824499805
loved,35.0,0.0003901242824499805
different,35.0,0.0003901242824499805
dream,35.0,0.0003901242824499805
bent,35.0,0.0003901242824499805
case,35.0,0.0003901242824499805
fortune,35.0,0.0003901242824499805
aid,34.0,0.00037897787437998103
men,34.0,0.00037897787437998103
stranger,34.0,0.00037897787437998103
bad,34.0,0.00037897787437998103
taking,34.0,0.00037897787437998103
money,34.0,0.00037897787437998103
send,34.0,0.00037897787437998103
kitchen,34.0,0.00037897787437998103
placed,34.0,0.00037897787437998103
quietly,34.0,0.00037897787437998103
watched,34.0,0.00037897787437998103
listen,34.0,0.00037897787437998103
twenty,34.0,0.00037897787437998103
laugh,34.0,0.00037897787437998103
future,33.0,0.0003678314663099816
red,33.0,0.0003678314663099816
age,33.0,0.0003678314663099816
week,33.0,0.0003678314663099816
deal,33.0,0.0003678314663099816
suddenly,33.0,0.0003678314663099816
pleasant,33.0,0.0003678314663099816
interest,33.0,0.0003678314663099816
sister,33.0,0.0003678314663099816
tears,33.0,0.0003678314663099816
calm,33.0,0.0003678314663099816
watch,33.0,0.0003678314663099816
heaven,33.0,0.0003678314663099816
sight,33.0,0.0003678314663099816
letter,33.0,0.0003678314663099816
brow,33.0,0.0003678314663099816
walked,33.0,0.0003678314663099816
meet,33.0,0.0003678314663099816
schoolroom,33.0,0.0003678314663099816
rising,33.0,0.0003678314663099816
approached,33.0,0.0003678314663099816
plain,32.0,0.00035668505823998215
nurse,32.0,0.00035668505823998215
mama,32.0,0.00035668505823998215
scene,32.0,0.00035668505823998215
wall,32.0,0.00035668505823998215
certainly,32.0,0.00035668505823998215
rise,32.0,0.00035668505823998215
grave,32.0,0.00035668505823998215
flowers,32.0,0.00035668505823998215
garden,32.0,0.00035668505823998215
replied,32.0,0.00035668505823998215
sun,32.0,0.00035668505823998215
morrow,32.0,0.00035668505823998215
burns,32.0,0.00035668505823998215
horse,32.0,0.00035668505823998215
rich,32.0,0.00035668505823998215
governess,32.0,0.00035668505823998215
poole,32.0,0.00035668505823998215
narrow,31.0,0.00034553865016998274
curtain,31.0,0.00034553865016998274
subject,31.0,0.00034553865016998274
try,31.0,0.00034553865016998274
foot,31.0,0.00034553865016998274
carriage,31.0,0.00034553865016998274
beauty,31.0,0.00034553865016998274
pity,31.0,0.00034553865016998274
effort,31.0,0.00034553865016998274
c,31.0,0.00034553865016998274
ready,31.0,0.00034553865016998274
others,31.0,0.00034553865016998274
forehead,31.0,0.00034553865016998274
countenance,31.0,0.00034553865016998274
lost,31.0,0.00034553865016998274
terms,30.0,0.00033439224209998327
third,30.0,0.00033439224209998327
eliza,30.0,0.00033439224209998327
natural,30.0,0.00033439224209998327
broken,30.0,0.00033439224209998327
feared,30.0,0.00033439224209998327
times,30.0,0.00033439224209998327
flesh,30.0,0.00033439224209998327
somewhat,30.0,0.00033439224209998327
known,30.0,0.00033439224209998327
dared,30.0,0.00033439224209998327
else,30.0,0.00033439224209998327
real,30.0,0.00033439224209998327
delight,30.0,0.00033439224209998327
broke,30.0,0.00033439224209998327
shook,30.0,0.00033439224209998327
along,30.0,0.00033439224209998327
ill,30.0,0.00033439224209998327
became,30.0,0.00033439224209998327
cheek,30.0,0.00033439224209998327
ground,30.0,0.00033439224209998327
months,30.0,0.00033439224209998327
observed,30.0,0.00033439224209998327
understand,30.0,0.00033439224209998327
gallery,30.0,0.00033439224209998327
offer,30.0,0.00033439224209998327
free,30.0,0.00033439224209998327
oliver,30.0,0.00033439224209998327
books,29.0,0.00032324583402998386
whatever,29.0,0.00032324583402998386
show,29.0,0.00032324583402998386
saying,29.0,0.00032324583402998386
nursery,29.0,0.00032324583402998386
dear,29.0,0.00032324583402998386
promise,29.0,0.00032324583402998386
dare,29.0,0.00032324583402998386
lifted,29.0,0.00032324583402998386
means,29.0,0.00032324583402998386
tired,29.0,0.00032324583402998386
forward,29.0,0.00032324583402998386
proceeded,29.0,0.00032324583402998386
smiled,29.0,0.00032324583402998386
pure,29.0,0.00032324583402998386
marriage,29.0,0.00032324583402998386
millcote,29.0,0.00032324583402998386
eshton,29.0,0.00032324583402998386
dent,29.0,0.00032324583402998386
language,28.0,0.0003120994259599844
earth,28.0,0.0003120994259599844
hearth,28.0,0.0003120994259599844
upstairs,28.0,0.0003120994259599844
hold,28.0,0.0003120994259599844
led,28.0,0.0003120994259599844
grey,28.0,0.0003120994259599844
friend,28.0,0.0003120994259599844
beautiful,28.0,0.0003120994259599844
task,28.0,0.0003120994259599844
thank,27.0,0.000300953017889985
walls,27.0,0.000300953017889985
clean,27.0,0.000300953017889985
hate,27.0,0.000300953017889985
society,27.0,0.000300953017889985
company,27.0,0.000300953017889985
nearly,27.0,0.000300953017889985
offered,27.0,0.000300953017889985
account,27.0,0.000300953017889985
miles,27.0,0.000300953017889985
affection,27.0,0.000300953017889985
fellow,27.0,0.000300953017889985
grew,27.0,0.000300953017889985
uncle,27.0,0.000300953017889985
steps,27.0,0.000300953017889985
passing,27.0,0.000300953017889985
frame,27.0,0.000300953017889985
parlour,27.0,0.000300953017889985
showed,27.0,0.000300953017889985
happened,27.0,0.000300953017889985
hill,27.0,0.000300953017889985
green,27.0,0.000300953017889985
leah,27.0,0.000300953017889985
sophie,27.0,0.000300953017889985
electronic,27.0,0.000300953017889985
tale,26.0,0.0002898066098199855
thinking,26.0,0.0002898066098199855
wet,26.0,0.0002898066098199855
picture,26.0,0.0002898066098199855
paused,26.0,0.0002898066098199855
stand,26.0,0.0002898066098199855
blind,26.0,0.0002898066098199855
says,26.0,0.0002898066098199855
eat,26.0,0.0002898066098199855
cut,26.0,0.0002898066098199855
resolved,26.0,0.0002898066098199855
stone,26.0,0.0002898066098199855
tried,26.0,0.0002898066098199855
dog,26.0,0.0002898066098199855
library,26.0,0.0002898066098199855
sad,26.0,0.0002898066098199855
bonnet,26.0,0.0002898066098199855
meantime,26.0,0.0002898066098199855
liberty,26.0,0.0002898066098199855
year,26.0,0.0002898066098199855
fancy,26.0,0.0002898066098199855
weeks,26.0,0.0002898066098199855
notice,26.0,0.0002898066098199855
thin,26.0,0.0002898066098199855
afterwards,26.0,0.0002898066098199855
lit,26.0,0.0002898066098199855
broad,26.0,0.0002898066098199855
inquired,26.0,0.0002898066098199855
taste,26.0,0.0002898066098199855
wait,26.0,0.0002898066098199855
pounds,26.0,0.0002898066098199855
