Most common words,JE relative frequency,WH relative frequency,Relative frequency difference
bring,0.00024522097753998775,0.0006041759218125278,0.00035895494427254
compelled,0.0,0.00035539760106619283,0.00035539760106619283
lips,0.0006910773003399655,0.00033762772101288314,0.00035344957932708233
crying,5.5732040349997216e-05,0.0004087072412261217,0.0003529752008761245
park,5.5732040349997216e-05,0.0004087072412261217,0.0003529752008761245
latter,5.5732040349997216e-05,0.0004087072412261217,0.0003529752008761245
white,0.0008136877891099593,0.00046201688138605067,0.0003516709077239087
take,0.0016942540266399154,0.0020435362061306086,0.00034928217949069316
interrupted,0.00016719612104999163,0.0005153265215459796,0.0003481304004959879
speech,4.458563227999777e-05,0.0003909373611728121,0.00034635172889281433
fingers,0.00022292816139998886,0.0005686361617059085,0.00034570800030591964
fit,0.00022292816139998886,0.0005686361617059085,0.00034570800030591964
face,0.002140110349439893,0.0017947578853842736,0.0003453524640556194
wife,0.0008248341971799588,0.0004797867614393603,0.00034504743574059846
continued,0.0008471270133199577,0.0011905819635717458,0.00034345495025178815
directly,0.0001560497129799922,0.0004975566414926699,0.00034150692851267765
wicked,0.0001560497129799922,0.0004975566414926699,0.00034150692851267765
lockwood,0.0,0.00033762772101288314,0.00033762772101288314
lie,0.00017834252911999108,0.0005153265215459796,0.0003369839924259885
best,0.0006910773003399655,0.00035539760106619283,0.00033567969927377264
took,0.0013710081926099314,0.0017059084851177254,0.000334900292507794
th,7.80248564899961e-05,0.0004087072412261217,0.0003306823847361256
countenance,0.00034553865016998274,0.0006752554420257663,0.00032971679185578355
say,0.0022292816139998888,0.0019013771657041315,0.00032790444829575724
next,0.0005461739954299727,0.0008707241226121724,0.0003245501271821997
sorry,0.0001560497129799922,0.0004797867614393603,0.0003237370484593681
door,0.002039792676809898,0.002363394047090182,0.00032360137028028405
high,0.0006576380761299671,0.00033762772101288314,0.000320010355117084
bear,0.00044585632279997773,0.0007641048422923145,0.00031824851949233677
married,0.00060190603577997,0.00028431808085295425,0.0003175879549270157
gate,0.00014490330490999275,0.00046201688138605067,0.0003171135764760579
left,0.0015939363540099203,0.001279431363838294,0.0003145049901716263
besides,0.0007579557487599621,0.000444247001332741,0.0003137087474272211
temper,0.00010031767262999498,0.0004087072412261217,0.00030838956859612673
law,0.00018948893718999052,0.0004975566414926699,0.00030806770430267936
already,0.0005907596277099704,0.00028431808085295425,0.0003064415468570162
length,0.0001560497129799922,0.00046201688138605067,0.0003059671684060585
garden,0.00035668505823998215,0.0006574855619724567,0.00030080050373247456
taken,0.0006910773003399655,0.0003909373611728121,0.0003001399391671534
light,0.001081201582789946,0.0007818747223456242,0.00029932686044432185
every,0.001159226439279942,0.0014571301643713905,0.00029790372509144844
air,0.0006687844841999665,0.00037316748111950246,0.0002956170030804641
former,0.00016719612104999163,0.00046201688138605067,0.00029482076033605903
except,0.00025636738560998716,0.0005508662816525988,0.00029449889604261166
turning,0.00025636738560998716,0.0005508662816525988,0.00029449889604261166
feel,0.0009697375020899515,0.0006752554420257663,0.00029448206006418517
cry,0.00022292816139998886,0.0005153265215459796,0.0002923983601459907
guess,0.00010031767262999498,0.0003909373611728121,0.0002906196885428171
tongue,0.00018948893718999052,0.0004797867614393603,0.0002902978242493698
silence,0.000679930892269966,0.0003909373611728121,0.00028899353109715386
two,0.0022069887978598897,0.0019191470457574412,0.0002878417521024485
called,0.0008917126455999555,0.0006041759218125278,0.0002875367237874277
hear,0.0009920303182299505,0.001279431363838294,0.00028740104560834355
1,0.0005127347712199743,0.0007996446023989338,0.00028690983117895944
pony,3.343922420999833e-05,0.0003198578409595735,0.00028641861674957517
grew,0.000300953017889985,0.0005864060417592181,0.0002854530238692331
un,5.5732040349997216e-05,0.00033762772101288314,0.0002818956806628859
making,0.0002340745694699883,0.0005153265215459796,0.00028125195207599123
court,2.2292816139998884e-05,0.0003020879609062639,0.000279795144766265
moors,0.00011146408069999443,0.0003909373611728121,0.00027947328047281763
almost,0.0011146408069999444,0.0008351843625055531,0.00027945644449439125
got,0.0011257872150699437,0.0014038205242114616,0.00027803330914151795
work,0.0011257872150699437,0.0014038205242114616,0.00027803330914151795
church,0.0004904419550799755,0.00021323856063971568,0.0002772033944402598
wished,0.0007913949729699604,0.0005153265215459796,0.00027606845142398085
visit,0.00022292816139998886,0.0004975566414926699,0.000274628480092681
form,0.0004681491389399766,0.00019546868058640605,0.00027268045835357056
stay,0.00060190603577997,0.0008707241226121724,0.00026881808683220244
nearly,0.000300953017889985,0.0005686361617059085,0.00026768314381592353
perceiving,0.0,0.0002665482007996446,0.0002665482007996446
alone,0.0008359806052499582,0.0011017325633051976,0.00026575195805523947
weeping,5.5732040349997216e-05,0.0003198578409595735,0.0002641258006095763
hush,0.00014490330490999275,0.0004087072412261217,0.00026380393631612897
repeated,0.0002340745694699883,0.0004975566414926699,0.00026348207202268154
whispered,0.0002340745694699883,0.0004975566414926699,0.00026348207202268154
show,0.00032324583402998386,0.0005864060417592181,0.0002631602077292342
em,2.2292816139998884e-05,0.00028431808085295425,0.00026202526471295537
foolish,2.2292816139998884e-05,0.00028431808085295425,0.00026202526471295537
bit,0.00011146408069999443,0.00037316748111950246,0.00026170340041950806
another,0.0012706905199799364,0.001528209684584629,0.0002575191646046926
cold,0.0009140054617399543,0.0006574855619724567,0.00025651989976749757
fine,0.0006464916680599677,0.0003909373611728121,0.0002555543068871556
lattice,1.1146408069999442e-05,0.0002665482007996446,0.00025540179272964515
sake,0.00018948893718999052,0.000444247001332741,0.00025475806414275047
done,0.0008471270133199577,0.0011017325633051976,0.00025460554998523995
finally,6.687844841999666e-05,0.0003198578409595735,0.00025297939253957687
thoughts,0.0005015883631499749,0.00024877832074633494,0.00025281004240363997
stared,3.343922420999833e-05,0.00028431808085295425,0.0002508788566429559
power,0.0005350275873599733,0.00028431808085295425,0.000250709506507019
purpose,0.00021178175332998942,0.00046201688138605067,0.0002502351280560612
company,0.000300953017889985,0.0005508662816525988,0.00024991326376261385
laughing,8.917126455999554e-05,0.00033762772101288314,0.0002484564564528876
remain,0.00017834252911999108,0.00042647712127943135,0.0002481345921594403
morning,0.0013487153764699326,0.0011017325633051976,0.00024698281316473496
sure,0.001081201582789946,0.0008351843625055531,0.0002460172202843929
care,0.0005907596277099704,0.0008351843625055531,0.0002444247347955827
sobbed,2.2292816139998884e-05,0.0002665482007996446,0.00024425538465964574
wi,2.2292816139998884e-05,0.0002665482007996446,0.00024425538465964574
self,0.00045700273086997714,0.00021323856063971568,0.00024376417023026147
since,0.0008582734213899571,0.0011017325633051976,0.00024345914191524053
notice,0.0002898066098199855,0.0005330964015992892,0.00024328979177930374
dog,0.0002898066098199855,0.0005330964015992892,0.00024328979177930374
n,7.80248564899961e-05,0.0003198578409595735,0.0002418329844695774
fro,7.80248564899961e-05,0.0003198578409595735,0.0002418329844695774
seized,0.00016719612104999163,0.0004087072412261217,0.0002415111201761301
full,0.001058908766649947,0.0008174144824522434,0.00024149428419770354
friend,0.0003120994259599844,0.0005508662816525988,0.00023876685569261443
hinder,1.1146408069999442e-05,0.00024877832074633494,0.0002376319126763355
lass,1.1146408069999442e-05,0.00024877832074633494,0.0002376319126763355
remarked,0.00018948893718999052,0.00042647712127943135,0.00023698818408944084
humour,6.687844841999666e-05,0.0003020879609062639,0.00023520951248626724
absence,0.0001560497129799922,0.0003909373611728121,0.0002348876481928199
calling,3.343922420999833e-05,0.0002665482007996446,0.0002331089765896463
character,0.0005350275873599733,0.0003020879609062639,0.00023293962645370937
_you_,0.00012261048876999387,0.00035539760106619283,0.00023278711229619896
entirely,0.00012261048876999387,0.00035539760106619283,0.00023278711229619896
ago,0.00044585632279997773,0.00021323856063971568,0.00023261776216026205
summer,0.00021178175332998942,0.000444247001332741,0.00023246524800275156
joy,0.00021178175332998942,0.000444247001332741,0.00023246524800275156
lintons,0.0,0.00023100844069302533,0.00023100844069302533
chapel,0.0,0.00023100844069302533,0.00023100844069302533
point,0.0005684668115699716,0.00033762772101288314,0.00023083909055708846
leant,8.917126455999554e-05,0.0003198578409595735,0.000230686576399578
departed,8.917126455999554e-05,0.0003198578409595735,0.000230686576399578
floor,0.00017834252911999108,0.0004087072412261217,0.00023036471210613065
morrow,0.00035668505823998215,0.0005864060417592181,0.00022972098351923593
doubt,0.0006910773003399655,0.00046201688138605067,0.0002290604189539148
silly,5.5732040349997216e-05,0.00028431808085295425,0.00022858604050295702
sat,0.0011703728473499416,0.0009418036428254109,0.00022856920452453064
stopped,0.0005127347712199743,0.00028431808085295425,0.00022841669036702006
cause,0.00014490330490999275,0.00037316748111950246,0.0002282641762095097
doors,0.0002340745694699883,0.00046201688138605067,0.00022794231191606236
books,0.00032324583402998386,0.0005508662816525988,0.00022762044762261496
certain,0.0008136877891099593,0.0005864060417592181,0.00022728174735074126
idle,2.2292816139998884e-05,0.00024877832074633494,0.00022648550460633606
raise,2.2292816139998884e-05,0.00024877832074633494,0.00022648550460633606
amusement,2.2292816139998884e-05,0.00024877832074633494,0.00022648550460633606
bonny,2.2292816139998884e-05,0.00024877832074633494,0.00022648550460633606
marry,0.0005461739954299727,0.0003198578409595735,0.00022631615447039915
clear,0.00045700273086997714,0.00023100844069302533,0.0002259942901769518
make,0.0016942540266399154,0.0019191470457574412,0.0002248930191175258
concerning,7.80248564899961e-05,0.0003020879609062639,0.00022406310441626777
refused,7.80248564899961e-05,0.0003020879609062639,0.00022406310441626777
naughty,7.80248564899961e-05,0.0003020879609062639,0.00022406310441626777
flung,7.80248564899961e-05,0.0003020879609062639,0.00022406310441626777
forget,0.0004904419550799755,0.0002665482007996446,0.00022389375428033087
hearth,0.0003120994259599844,0.0005330964015992892,0.00022099697563930486
road,0.0004904419550799755,0.0007107952021323857,0.00022035324705241017
quiet,0.0006464916680599677,0.00042647712127943135,0.00022001454678053636
dismal,1.1146408069999442e-05,0.00023100844069302533,0.0002198620326230259
mention,0.00010031767262999498,0.0003198578409595735,0.00021954016832957852
